iter	Passed	Remaining
0	1	130
1	2	142
2	5	167
3	6	164
4	8	161
5	10	157
6	11	152
7	12	141
8	13	135
9	14	129
10	15	122
11	16	119
12	17	115
13	22	135
14	23	131
15	24	130
16	27	134
17	28	129
18	29	127
19	31	124
20	32	121
21	34	123
22	38	130
23	40	127
24	41	123
25	41	118
26	42	115
27	43	112
28	44	108
29	45	105
30	45	102
31	46	99
32	47	96
33	48	93
34	49	92
35	51	90
36	52	89
37	54	88
38	55	86
39	56	84
40	57	83
41	58	80
42	60	80
43	63	81
44	65	79
45	66	78
46	69	77
47	70	75
48	70	73
49	71	71
50	72	69
51	73	67
52	74	65
53	74	63
54	75	61
55	77	60
56	79	59
57	80	58
58	81	56
59	82	54
60	83	53
61	84	51
62	87	51
63	88	49
64	89	48
65	90	46
66	93	46
67	94	44
68	95	43
69	96	41
70	97	39
71	98	38
72	99	36
73	99	35
74	100	33
75	101	32
76	102	30
77	103	29
78	103	27
79	105	26
80	105	24
81	107	23
82	109	22
83	110	20
84	111	19
85	111	18
86	113	16
87	114	15
88	116	14
89	118	13
90	121	11
91	124	10
92	125	9
93	128	8
94	131	6
95	132	5
96	138	4
97	139	2
98	144	1
99	145	0
