iter	Passed	Remaining
0	151	151758
1	154	77159
2	155	51712
3	156	38934
4	157	31303
5	158	26293
6	159	22629
7	160	19882
8	161	17731
9	161	16005
10	162	14593
11	162	13417
12	163	12422
13	165	11681
14	166	10941
15	167	10287
16	167	9709
17	168	9195
18	170	8779
19	170	8375
20	171	8009
21	172	7670
22	173	7361
23	174	7078
24	174	6818
25	175	6584
26	178	6431
27	179	6242
28	180	6055
29	181	5879
30	182	5718
31	184	5569
32	185	5426
33	186	5295
34	187	5159
35	187	5030
36	188	4912
37	191	4859
38	193	4757
39	194	4660
40	195	4562
41	196	4475
42	197	4391
43	198	4310
44	199	4235
45	200	4157
46	201	4084
47	202	4010
48	203	3955
49	204	3892
50	205	3830
51	206	3767
52	208	3716
53	209	3666
54	210	3610
55	210	3554
56	211	3502
57	212	3450
58	213	3401
59	214	3353
60	214	3307
61	216	3275
62	218	3246
63	219	3205
64	220	3164
65	220	3122
66	221	3081
67	221	3040
68	222	3001
69	223	2962
70	223	2925
71	224	2890
72	224	2856
73	225	2822
74	226	2789
75	226	2756
76	227	2724
77	227	2693
78	228	2663
79	229	2633
80	230	2613
81	232	2607
82	233	2579
83	234	2558
84	235	2535
85	236	2513
86	237	2494
87	239	2478
88	240	2457
89	240	2436
90	241	2416
91	243	2399
92	245	2392
93	247	2386
94	249	2374
95	250	2356
96	251	2337
97	251	2319
98	252	2300
99	253	2282
100	254	2264
101	255	2248
102	256	2230
103	256	2212
104	257	2194
105	258	2178
106	260	2175
107	261	2161
108	262	2144
109	263	2129
110	263	2114
111	264	2100
112	265	2085
113	266	2071
114	267	2056
115	267	2042
116	268	2028
117	269	2015
118	272	2018
119	274	2015
120	275	2004
121	276	1991
122	277	1980
123	278	1967
124	279	1954
125	279	1941
126	281	1938
127	282	1927
128	283	1916
129	284	1905
130	287	1904
131	290	1907
132	291	1901
133	292	1890
134	293	1879
135	294	1870
136	295	1860
137	296	1849
138	296	1838
139	298	1834
140	306	1868
141	307	1857
142	308	1850
143	309	1841
144	310	1831
145	311	1822
146	312	1814
147	313	1803
148	317	1813
149	319	1811
150	320	1804
151	321	1795
152	322	1786
153	323	1777
154	325	1776
155	327	1769
156	327	1760
157	331	1768
158	333	1761
159	333	1752
160	334	1741
161	334	1731
162	335	1722
163	336	1712
164	336	1704
165	337	1695
166	338	1686
167	339	1679
168	340	1672
169	341	1665
170	342	1658
171	343	1652
172	344	1648
173	345	1641
174	346	1635
175	347	1628
176	348	1621
177	350	1617
178	351	1612
179	352	1605
180	353	1597
181	353	1590
182	357	1594
183	359	1592
184	359	1585
185	361	1581
186	362	1574
187	363	1571
188	365	1566
189	365	1559
190	366	1553
191	367	1547
192	375	1569
193	376	1563
194	378	1560
195	379	1558
196	381	1553
197	382	1549
198	387	1559
199	389	1559
200	390	1553
201	391	1548
202	393	1543
203	394	1538
204	395	1532
205	395	1525
206	396	1518
207	397	1512
208	397	1505
209	401	1508
210	403	1507
211	408	1518
212	412	1523
213	413	1519
214	419	1531
215	421	1531
216	424	1531
217	425	1525
218	426	1522
219	428	1518
220	434	1531
221	435	1527
222	437	1524
223	438	1519
224	440	1517
225	442	1513
226	443	1511
227	446	1512
228	449	1512
229	450	1507
230	451	1501
231	452	1496
232	452	1491
233	453	1485
234	454	1480
235	455	1475
236	456	1470
237	457	1465
238	458	1459
239	459	1454
240	462	1455
241	463	1450
242	463	1445
243	464	1439
244	465	1435
245	466	1430
246	468	1428
247	469	1422
248	470	1417
249	470	1412
250	471	1407
251	472	1402
252	473	1397
253	473	1392
254	475	1388
255	477	1387
256	481	1391
257	482	1386
258	482	1381
259	483	1376
260	485	1373
261	486	1369
262	486	1364
263	487	1358
264	488	1353
265	488	1348
266	489	1343
267	491	1343
268	492	1338
269	493	1333
270	493	1328
271	494	1323
272	495	1318
273	495	1313
274	496	1309
275	497	1305
276	498	1301
277	499	1297
278	500	1292
279	500	1287
280	501	1283
281	502	1278
282	502	1274
283	503	1270
284	504	1266
285	506	1264
286	507	1260
287	508	1256
288	508	1251
289	509	1247
290	511	1245
291	511	1240
292	512	1236
293	513	1232
294	513	1227
295	514	1223
296	515	1219
297	516	1215
298	517	1214
299	520	1214
300	521	1211
301	522	1207
302	523	1205
303	524	1201
304	525	1197
305	526	1194
306	527	1190
307	528	1186
308	529	1183
309	530	1180
310	531	1178
311	533	1175
312	535	1175
313	536	1172
314	537	1169
315	538	1166
316	540	1164
317	541	1161
318	542	1157
319	543	1154
320	544	1151
321	545	1148
322	546	1145
323	548	1143
324	550	1143
325	551	1139
326	552	1136
327	553	1133
328	554	1130
329	555	1127
330	556	1123
331	557	1121
332	559	1120
333	561	1119
334	564	1121
335	566	1118
336	567	1115
337	567	1112
338	568	1108
339	569	1105
340	570	1103
341	572	1101
342	573	1099
343	574	1095
344	576	1093
345	579	1095
346	580	1092
347	581	1089
348	582	1086
349	583	1083
350	583	1079
351	585	1077
352	586	1075
353	587	1072
354	588	1068
355	589	1065
356	591	1064
357	594	1065
358	595	1063
359	596	1059
360	597	1056
361	598	1054
362	601	1054
363	602	1052
364	604	1051
365	609	1055
366	610	1053
367	613	1053
368	614	1050
369	615	1047
370	615	1044
371	619	1045
372	623	1047
373	625	1046
374	627	1045
375	629	1044
376	630	1042
377	631	1039
378	633	1037
379	638	1040
380	639	1039
381	641	1037
382	641	1033
383	644	1034
384	645	1031
385	649	1032
386	653	1035
387	654	1032
388	655	1029
389	656	1026
390	656	1022
391	659	1022
392	661	1021
393	662	1019
394	664	1017
395	669	1021
396	670	1018
397	671	1015
398	671	1012
399	672	1008
400	673	1006
401	674	1003
402	676	1002
403	679	1001
404	681	1000
405	683	1000
406	686	1000
407	687	997
408	688	995
409	690	993
410	695	996
411	696	993
412	698	992
413	699	989
414	700	987
415	701	985
416	702	982
417	703	979
418	704	976
419	709	980
420	711	978
421	712	976
422	714	974
423	717	974
424	718	971
425	719	969
426	724	972
427	726	970
428	727	968
429	729	967
430	731	965
431	732	962
432	733	960
433	735	958
434	739	960
435	740	957
436	741	955
437	742	953
438	743	950
439	744	947
440	745	945
441	746	942
442	747	940
443	749	939
444	753	940
445	755	938
446	756	935
447	757	933
448	758	931
449	759	928
450	760	925
451	761	923
452	762	920
453	764	919
454	768	920
455	771	919
456	773	919
457	776	918
458	778	917
459	781	917
460	783	916
461	784	913
462	786	912
463	787	910
464	789	907
465	789	905
466	792	904
467	793	902
468	797	902
469	798	900
470	799	897
471	801	896
472	804	896
473	806	894
474	807	892
475	813	895
476	815	893
477	816	891
478	818	890
479	821	889
480	822	887
481	823	885
482	828	887
483	829	884
484	831	882
485	832	880
486	833	878
487	834	875
488	835	872
489	835	870
490	836	867
491	837	864
492	838	862
493	840	860
494	843	860
495	844	857
496	844	855
497	845	852
498	846	850
499	850	850
500	851	848
501	852	845
502	854	844
503	855	841
504	858	841
505	859	839
506	860	836
507	861	834
508	863	832
509	864	830
510	865	828
511	866	826
512	872	828
513	873	826
514	874	823
515	875	821
516	879	821
517	880	818
518	881	817
519	887	819
520	889	817
521	890	815
522	891	813
523	894	812
524	899	813
525	900	811
526	903	811
527	905	809
528	911	811
529	912	809
530	913	806
531	914	804
532	916	802
533	917	800
534	918	798
535	919	795
536	921	794
537	922	792
538	923	790
539	924	787
540	925	785
541	926	782
542	929	782
543	930	780
544	931	777
545	933	776
546	934	773
547	936	772
548	936	769
549	939	769
550	941	767
551	942	764
552	948	766
553	949	764
554	952	763
555	953	761
556	955	759
557	956	757
558	956	754
559	959	753
560	963	753
561	965	752
562	967	750
563	967	748
564	968	745
565	970	743
566	971	741
567	973	740
568	975	739
569	978	738
570	979	735
571	981	734
572	983	732
573	984	730
574	993	734
575	997	734
576	998	732
577	1000	730
578	1002	729
579	1007	729
580	1008	727
581	1009	724
582	1010	722
583	1011	720
584	1012	718
585	1016	717
586	1017	715
587	1018	713
588	1024	714
589	1029	715
590	1031	713
591	1032	711
592	1042	715
593	1043	713
594	1044	711
595	1045	708
596	1046	706
597	1054	709
598	1068	715
599	1070	713
600	1073	713
601	1074	710
602	1075	708
603	1077	706
604	1079	704
605	1088	707
606	1091	706
607	1092	704
608	1093	702
609	1094	699
610	1094	697
611	1106	701
612	1107	699
613	1110	698
614	1123	703
615	1125	701
616	1127	699
617	1130	698
618	1139	701
619	1146	702
620	1155	705
621	1159	704
622	1161	702
623	1165	702
624	1168	701
625	1170	699
626	1173	697
627	1176	696
628	1185	699
629	1186	697
630	1187	694
631	1189	692
632	1191	690
633	1200	692
634	1202	691
635	1203	688
636	1204	686
637	1207	685
638	1210	683
639	1215	683
640	1216	681
641	1218	679
642	1219	677
643	1227	678
644	1230	677
645	1231	674
646	1232	672
647	1233	669
648	1235	668
649	1241	668
650	1243	666
651	1244	664
652	1246	662
653	1247	659
654	1254	660
655	1256	658
656	1257	656
657	1259	654
658	1261	652
659	1261	649
660	1262	647
661	1263	644
662	1273	647
663	1274	645
664	1275	642
665	1276	640
666	1277	637
667	1282	637
668	1285	636
669	1289	635
670	1290	632
671	1291	630
672	1292	628
673	1294	625
674	1296	624
675	1300	623
676	1305	622
677	1308	621
678	1310	619
679	1313	618
680	1317	616
681	1318	614
682	1319	612
683	1320	609
684	1321	607
685	1321	605
686	1326	604
687	1329	602
688	1331	600
689	1331	598
690	1333	596
691	1334	593
692	1334	591
693	1335	588
694	1336	586
695	1340	585
696	1347	585
697	1349	583
698	1350	581
699	1362	583
700	1363	581
701	1365	579
702	1366	577
703	1367	574
704	1371	573
705	1375	572
706	1378	571
707	1379	568
708	1380	566
709	1381	564
710	1387	563
711	1393	563
712	1394	561
713	1397	559
714	1404	559
715	1405	557
716	1409	556
717	1415	555
718	1419	554
719	1420	552
720	1421	550
721	1422	547
722	1423	545
723	1423	542
724	1424	540
725	1433	540
726	1435	539
727	1436	536
728	1437	534
729	1438	532
730	1441	530
731	1450	530
732	1451	528
733	1452	526
734	1459	526
735	1461	524
736	1465	522
737	1467	521
738	1471	519
739	1475	518
740	1477	516
741	1480	514
742	1481	512
743	1482	510
744	1483	507
745	1483	505
746	1485	503
747	1490	502
748	1491	499
749	1493	497
750	1494	495
751	1495	493
752	1498	491
753	1502	490
754	1504	488
755	1505	485
756	1507	484
757	1509	481
758	1510	479
759	1511	477
760	1511	474
761	1512	472
762	1518	471
763	1519	469
764	1520	467
765	1522	465
766	1523	462
767	1523	460
768	1525	458
769	1526	455
770	1526	453
771	1531	452
772	1532	450
773	1533	447
774	1534	445
775	1535	443
776	1538	441
777	1539	439
778	1540	437
779	1541	434
780	1545	433
781	1546	431
